dshot,rpm,force (N)
20,9,0.36863564848899844
22,56,0.3759689748287201
24,113,0.38330231110254925
27,168,0.39463565349578855
29,184,0.40263564586639405
32,199,0.415302316347758
35,227,0.4273023188114166
39,252,0.4493022978305817
43,285,0.47330230474472046
47,312,0.5006356438000997
52,353,0.5279689788818359
57,395,0.5606356183687846
63,427,0.6019689679145813
69,470,0.6573023080825806
76,495,0.6806356231371562
84,563,0.774635648727417
92,582,0.7813023090362549
101,633,0.8573022961616517
111,696,0.993302313486735
122,753,1.1326356649398803
135,836,1.4319689512252807
148,898,1.8526356538136801
163,978,2.4253024101257323
179,1059,2.8173022747039793
197,1160,3.2506356716156004
217,1260,4.095969072977701
238,1361,4.817969036102295
262,1451,5.997968959808349
288,1594,7.359969011942545
317,1685,8.643302281697592
349,1806,10.230635770161946
384,1947,11.623302205403645
422,2076,13.523302459716797
465,2210,15.071969032287598
511,2344,17.131302388509116
562,2475,19.255302302042644
618,2648,21.7059689839681
680,2851,24.101302337646484
725,2955,26.031302134195965
