dshot,rpm,force (N)
20,27,0.004741239698487334
22,3,-0.0018587602413026615
24,69,0.031141239479766228
27,115,0.041541239669313654
29,155,-0.012458760930458083
32,160,-0.026458760530804284
35,211,0.006941239754669368
39,236,0.004541239726822823
43,266,0.03954123996198177
47,295,0.07194123953580857
52,320,0.10294123902916909
57,349,0.15354123800992966
63,385,0.19314123991876841
69,437,0.33214124202728273
76,463,0.37994124114513395
84,507,0.48934123635292054
92,542,0.5185412335395813
101,593,0.6363412261009216
111,660,0.9389412415027618
122,703,1.147541241645813
135,775,1.4481412267684937
148,828,1.7909412384033203
163,904,2.0633412075042723
179,980,2.542741241455078
197,1064,3.1433412790298463
217,1159,3.7291412258148195
238,1247,4.370541219711304
262,1350,5.234141273498535
288,1444,6.152741250991821
317,1566,7.294141302108764
349,1687,8.605141258239746
384,1810,9.760141258239747
422,1928,11.06594129562378
465,2071,12.896941204071044
511,2208,14.44974126815796
562,2360,17.04094120025635
618,2506,19.146741256713867
680,2646,21.965341300964354
725,2764,23.545941314697266
