dshot,rpm,force (N)
20,1,-0.018999999575316905
22,4,-0.011999999731779098
24,22,-0.004799999892711639
27,101,0.003999999910593033
29,153,0.010999999754130841
32,175,0.016799999624490736
35,197,0.03139999929815531
39,230,0.05000000059604645
43,259,0.07140000000596046
47,293,0.09480000257492066
52,317,0.11919999748468399
57,356,0.15100000500679017
63,402,0.1992000025510788
69,445,0.25
76,468,0.2875999975204468
84,534,0.3801999950408936
92,559,0.3931999963521957
101,630,0.4960000038146973
111,662,0.6186000061035156
122,746,0.7970000112056732
135,791,1.0409999680519104
148,874,1.4782000207901
163,951,1.9049999952316283
179,1032,2.357799940109253
197,1119,3.115199956893921
217,1221,3.9720000648498535
238,1318,5.108000020980835
262,1434,6.1831999683380126
288,1554,6.946399984359741
317,1662,8.167399959564209
349,1791,10.004599990844726
384,1916,11.035800037384034
422,2062,13.05020004272461
465,2206,14.98159999847412
511,2351,16.467599945068358
562,2475,19.099599990844727
618,2655,21.645599937438966
680,2803,24.922399940490724
725,2941,26.256600036621094
