4.013,20833,23.4,0
8.020,20834,23.3,0
12.023,20834,23.4,0
16.038,20834,23.4,0
20.039,20834,23.4,0
24.039,20833,23.4,0
28.050,20834,23.4,0
32.060,20833,23.4,0
36.070,20833,23.4,0
40.071,20834,23.4,0
44.073,20834,23.4,0
48.078,20834,23.4,0
52.089,20834,23.4,0
56.090,20833,23.5,0
60.092,20833,23.4,0
64.096,20833,23.4,0
68.100,20833,23.5,0
72.110,20833,23.4,0
76.118,20833,23.4,0
80.119,20833,23.5,0
84.134,20833,23.5,0
88.140,20833,23.5,0
92.149,20833,23.5,0
96.152,20833,23.5,0
100.154,20833,23.5,0
104.160,20833,23.5,0
108.172,20834,23.5,0
112.181,20833,23.5,0
116.188,20834,23.5,0
120.196,20834,23.5,0
124.199,20833,23.5,0
128.211,20833,23.5,0
132.212,20833,23.5,0
136.221,20833,23.5,0
140.235,20823,23.5,-192
144.241,20820,23.5,-200
148.254,20818,23.5,-200
152.266,20816,23.5,-200
156.273,20816,23.5,-200
160.282,20814,23.5,-201
164.283,20813,23.5,-200
168.294,20813,23.5,-200
172.300,20812,23.5,-200
176.315,20811,23.5,-201
180.324,20810,23.5,-200
184.336,20810,23.5,-200
188.338,20809,23.5,-200
192.351,20808,23.5,-200
196.355,20808,23.5,-200
200.365,20807,23.5,-200
204.375,20807,23.6,-200
208.382,20805,23.6,-200
212.397,20805,23.6,-200
216.404,20805,23.6,-201
220.416,20804,23.6,-200
224.419,20803,23.6,-200
228.426,20803,23.5,-200
232.441,20802,23.6,-200
236.446,20801,23.6,-200
240.453,20801,23.6,-200
244.460,20800,23.6,-200
248.468,20800,23.6,-200
252.482,20800,23.6,-200
256.494,20799,23.6,-200
260.500,20798,23.6,-200
264.510,20798,23.6,-200
268.517,20797,23.6,-200
272.526,20796,23.6,-200
276.541,20796,23.6,-200
280.553,20796,23.6,-200
284.554,20795,23.6,-200
288.562,20795,23.7,-200
292.566,20793,23.6,-200
296.580,20793,23.6,-200
300.584,20793,23.7,-200
304.584,20793,23.6,-200
308.595,20792,23.6,-201
312.607,20791,23.7,-200
316.621,20790,23.6,-200
320.625,20790,23.7,-200
324.656,20789,23.7,-200
328.639,20789,23.6,-200
332.639,20788,23.6,-200
336.653,20788,23.7,-200
340.668,20788,23.7,-200
344.701,20787,23.7,-200
348.682,20786,23.7,-200
352.685,20785,23.7,-200
356.694,20785,23.7,-200
360.702,20784,23.7,-200
364.749,20784,23.7,-200
368.728,20783,23.7,-200
372.734,20782,23.6,-200
376.741,20782,23.7,-200
380.745,20782,23.7,-200
384.764,20781,23.7,-200
388.765,20781,23.7,-200
392.769,20780,23.7,-200
396.778,20780,23.7,-200
400.793,20779,23.7,-200
404.811,20779,23.7,-200
408.796,20778,23.7,-200
412.810,20777,23.7,-200
416.824,20776,23.7,-200
420.829,20776,23.6,-200
424.830,20776,23.7,-200
428.832,20775,23.7,-200
432.840,20774,23.7,-200
436.846,20774,23.7,-200
440.847,20774,23.7,-200
444.858,20773,23.8,-200
448.851,20773,23.7,-200
452.865,20771,23.7,-200
456.876,20772,23.8,-200
460.878,20771,23.7,-200
464.890,20770,23.7,-200
468.901,20770,23.8,-200
472.914,20770,23.8,-200
476.919,20769,23.8,-200
480.930,20768,23.8,-200
484.931,20768,23.7,-200
488.934,20767,23.7,-200
492.946,20766,23.8,-200
496.955,20766,23.8,-200
500.960,20766,23.8,-200
504.967,20765,23.8,-200
508.978,20765,23.8,-200
512.989,20765,23.8,-200
517.003,20764,23.8,-200
521.013,20763,23.8,-200
525.029,20763,23.8,-200
529.031,20762,23.8,-200
533.041,20762,23.8,-200
537.047,20762,23.8,-200
541.060,20761,23.8,-200
545.068,20760,23.8,-200
549.077,20760,23.8,-200
553.087,20759,23.8,-200
557.092,20758,23.8,-200
561.097,20758,23.8,-200
565.100,20758,23.8,-200
569.110,20757,23.8,-200
573.121,20756,23.8,-200
577.134,20756,23.8,-200
581.143,20755,23.8,-200
585.156,20756,23.8,-200
589.163,20754,23.8,-200
593.164,20754,23.8,-200
597.172,20753,23.8,-200
601.178,20753,23.8,-200
605.187,20752,23.8,-200
